Initial Values = 0,Initial Values = 1,Initial Values = 2,Initial Values = 5,Initial Values = 10
2,153,199,273,207
2,255,252,216,372
2,214,137,332,291
2,340,321,481,395
2,184,274,205,315
2,221,,336,299
2,319,286,255,325
2,95,501,294,313
2,,339,187,446
2,268,295,173,
2,240,131,227,484
2,,265,448,353
2,170,245,321,171
2,244,173,316,
2,170,223,316,383
2,593,167,250,369
2,243,437,344,172
2,251,207,267,371
2,166,416,300,408
2,375,296,272,329
2,314,195,368,224
2,202,147,420,299
2,194,199,243,180
2,296,244,267,308
2,219,346,448,245
2,192,,223,525
2,245,243,297,318
2,103,210,246,370
2,388,282,292,316
2,224,293,421,253
2,301,548,298,221
2,344,246,,320
2,219,153,,242
2,343,261,188,371
4,133,348,415,251
2,235,289,131,293
2,320,276,270,271
0,180,394,238,303
2,144,394,202,337
2,245,272,249,374
2,,248,169,362
3,410,466,447,224
2,301,125,,226
2,174,242,363,271
2,218,375,245,370
2,222,295,225,
6,146,245,291,316
2,204,442,373,395
2,245,248,227,252
2,317,231,316,337
2,392,219,321,348
2,223,290,369,295
2,250,149,225,373
2,194,370,173,274
2,349,121,268,329
2,320,242,367,382
2,176,132,245,246
2,290,281,298,348
3,128,248,271,275
2,363,228,224,300
2,291,,223,236
3,252,394,192,324
2,269,318,370,245
2,250,240,270,
2,269,279,,218
2,252,250,,149
2,,241,263,319
3,168,299,420,322
2,180,245,227,245
3,178,201,440,397
2,240,243,267,293
2,333,172,351,250
2,322,368,204,294
3,395,152,366,371
2,567,244,223,246
2,273,244,,444
3,271,278,400,258
2,370,390,331,406
2,170,144,228,424
2,153,500,271,271
4,290,271,289,250
2,150,224,225,238
3,,195,270,252
2,265,290,368,296
2,143,227,277,397
2,146,439,315,293
2,242,226,274,395
2,183,264,521,228
2,148,187,243,168
2,369,438,227,190
2,269,322,319,367
3,248,245,519,351
2,298,373,265,267
2,247,171,252,518
2,221,392,312,266
2,149,249,205,274
2,245,271,318,308
2,294,198,372,799
2,,149,,413
2,192,265,249,412
