Alpha = 0.05,Alpha = 0.10,Alpha = 0.25,Alpha = 0.50,Alpha = 0.75,Alpha = 1.00
508,222,138,79,19,30
518,257,201,111,76,102
382,237,149,139,63,83
672,479,99,113,141,12
501,209,118,82,90,39
775,158,76,116,95,12
428,289,118,121,113,69
354,204,103,68,96,44
588,288,113,130,120,20
616,250,103,118,107,36
597,268,96,74,96,16
520,198,122,94,96,70
616,291,243,123,105,106
591,,118,91,89,96
395,263,86,129,117,18
375,253,214,102,80,27
538,267,168,96,138,16
748,257,247,120,58,31
465,240,171,79,137,31
1121,269,146,105,95,36
423,317,146,108,101,73
,520,96,122,96,23
481,276,123,,23,38
891,347,103,74,44,129
668,464,216,,79,35
448,297,97,136,19,21
558,247,148,81,47,91
404,373,204,120,83,18
465,370,139,79,17,26
524,197,120,112,71,118
322,243,98,101,19,96
518,222,243,81,33,11
456,296,126,138,95,65
680,343,221,96,111,54
452,347,75,70,88,17
450,350,153,153,14,81
384,372,105,95,47,105
458,365,185,123,96,91
659,250,199,69,124,18
411,393,123,96,103,19
530,417,218,85,100,23
302,421,120,161,95,31
460,468,226,78,118,89
667,224,117,117,81,16
764,365,84,80,112,82
600,374,144,102,120,99
601,298,120,118,109,103
532,292,94,84,106,94
592,272,126,88,81,97
473,245,195,151,96,17
717,286,146,96,31,34
345,230,102,112,45,17
373,544,202,86,79,21
,298,140,113,19,19
809,389,101,130,69,81
404,284,96,52,98,33
433,336,147,138,98,12
447,341,114,92,97,102
719,220,103,117,95,89
590,174,323,103,101,16
496,395,149,80,98,53
483,226,96,94,21,74
534,415,147,120,70,19
476,270,115,103,96,37
962,468,79,122,100,21
684,221,252,103,103,65
627,191,91,106,93,107
766,301,123,136,105,96
397,249,119,76,16,95
464,292,93,114,30,22
572,397,135,96,121,22
540,372,93,103,68,14
619,192,220,98,25,31
,247,96,120,39,16
522,233,151,73,122,77
539,288,241,137,103,55
424,262,105,81,117,16
615,229,91,81,81,74
474,469,242,135,23,100
469,223,154,98,29,96
440,370,120,75,138,95
915,272,72,46,49,19
618,443,267,69,20,33
495,445,100,,93,23
542,222,95,61,88,29
444,350,101,89,89,18
690,267,124,135,108,68
446,,173,104,20,45
411,368,318,91,19,16
358,369,111,106,23,87
319,464,155,123,51,101
,298,77,68,115,84
613,300,220,103,84,115
517,494,195,121,115,12
519,394,174,117,101,35
415,272,95,98,87,16
572,372,95,94,28,67
415,421,112,101,65,96
1013,368,135,90,47,100
741,251,218,129,29,103
